age,sex,income,sib_num,sib_order,family_conflict,family_mental_health,peer_victimization,school_safety,neighborhood_safety,adi,structural_stigma
9,M,9,2,2,0.75,0,12,15,4.666666666666667,26,-1.3770518
10,M,4,1,2,0,1,9,23.75,5,71,1.0961658
9.333333333333334,F,9.25,1,1,4,0,12,18.5,3.3333333333333335,2,-1.3974755
10.916666666666666,M,8.75,2,1,2.5,0,12.5,19,3.6666666666666665,29,-1.3770518
10.416666666666666,F,9.25,0,1,0.25,0,11,22,4.333333333333333,20,1.0961658
10.666666666666666,M,7,1,1,3.25,0,14.5,21,4.666666666666667,53,-0.03226128
9,M,4.5,0,1,0.75,0,9,21,4.666666666666667,26,-1.3974755
10.333333333333334,M,1.5,0,1,1.5,0,10.5,19.5,4,30,-0.12828442
9.916666666666666,F,6.75,1,2,1.75,0,12.5,16.25,4.666666666666667,33,-0.12828442
10.75,M,2.6666666666666665,0,1,1.25,0,9,22.25,5,38,-0.12828442
9.583333333333334,M,9,3,3,3.5,0,11,20.25,5,43,-0.3676427
9,F,8.75,3,2,2.5,0,10.5,20.5,4.666666666666667,27,-1.3974755
9.166666666666666,M,9,2,2,4.5,0,9.5,21,4,28,-0.12828442
9.166666666666666,M,5.5,0,1,0.75,0,11.5,21.75,4.333333333333333,8,-1.3974755
10.166666666666666,F,6.5,1,1,0.75,0,10.5,19.5,4.333333333333333,78,-0.12828442
10.75,F,5.75,1,1,2.75,0,11,24,3.6666666666666665,27,-1.3974755
10.75,F,5.25,3,3,1.25,0,10.5,20.75,4.666666666666667,12,-0.8287912
9.333333333333334,M,9,1,2,2.5,0,12.5,19,5,6,-0.8287912
9.666666666666666,F,8.75,2,2,1.75,0,13,19,4.666666666666667,35,-0.16266835
10.5,M,8.5,1,2,1,0,9.5,19.5,4.333333333333333,19,0.18910469
9.833333333333334,F,9.666666666666666,2,1,4.25,0,14,22.25,5,11,-1.3974755
9,F,6.75,1,1,1.75,0,9.5,19.75,4.666666666666667,45,-0.12828442
10.583333333333334,M,6,0,1,3.5,0,19.5,19.25,3.3333333333333335,37,1.0961658
10.5,F,3.6666666666666665,2,3,1,0,9,19.5,4.333333333333333,61,-0.03226128
9,F,4,1,2,2.25,0,9.5,21.75,5,29,-1.3974755
10.583333333333334,M,9,2,3,3.25,0,17,16.5,3,22,0.413664
9.666666666666666,F,1,1,2,2,0,10,21.5,3,58,-0.6193691
10,F,6.5,1,2,1.25,0,9,23,4,81,-0.03226128
9.25,F,7.5,1,1,2.25,0,15.5,20.75,4,52,-0.7891287
11,M,5.5,1,1,1.5,1,24,16,4.666666666666667,58,1.0961658
9.5,M,10,2,1,1.5,0,12,23.25,5,18,-0.3676427
9.166666666666666,F,8.75,3,2,1.25,0,9,21.25,4,38,-1.3974755
9,F,9,0,1,2.5,0,10,15,3.3333333333333335,39,1.0961658
9.666666666666666,F,8,2,2,3.75,0,15.5,19.25,3.6666666666666665,12,0.3220071
9.916666666666666,M,5,1,2,3.75,0,12,15.5,2.6666666666666665,28,-1.3974755
9.916666666666666,F,6,8,4,2.25,0,11,19.75,3.6666666666666665,99,0.18910469
9.583333333333334,F,6,1,1,2.25,0,12.5,23.25,2.6666666666666665,58,1.0517093
10.75,M,3.3333333333333335,2,3,5.5,0,21.5,18.25,5,91,-0.12828442
9.666666666666666,M,6.5,2,3,0.75,0,9,24,4.333333333333333,75,0.18910469
9.333333333333334,M,5,0,1,2.5,0,9.5,22.25,2.3333333333333335,99,-0.03226128
10.416666666666666,M,9,1,1,3.6666666666666665,0,13,20.333333333333332,3,44,-1.1650348
10.333333333333334,M,7.5,1,2,4,1,42.5,19.25,4,57,-0.16266835
9.083333333333334,M,9.25,0,1,0.75,0,9,15.5,3.6666666666666665,40,-1.1650348
9.583333333333334,F,1,0,1,4.5,0,13.5,16.25,1.3333333333333333,100,-0.03226128
10.083333333333334,M,6.25,1,1,1.6666666666666667,0,9,19,3,34,-1.3770518
9.916666666666666,M,10,2,2,3,0,9.5,19.75,4,4,0.413664
10,M,9,1,1,2.75,0,11,19.75,3.6666666666666665,66,0.3220071
10.25,F,9,1,2,1,0,13,20.5,4.666666666666667,29,1.0425177
9.166666666666666,M,9,9,5,4.75,0,13,21,5,29,-0.7891287
9,F,6.25,1,1,0.5,0,10,18.25,4,95,1.0961658
9.166666666666666,F,9,1,1,1,0,13.5,21,5,11,-1.1650348
10.666666666666666,M,1,3,3,5.25,0,12.5,18.25,1,67,-0.8287912
9.583333333333334,F,8.75,1,1,0.75,0,14,22.5,4.333333333333333,31,0.3220071
10.666666666666666,F,4.75,1,1,3.25,0,9,20.25,2.6666666666666665,57,-0.12828442
10.416666666666666,M,5.5,0,1,3.75,0,13.5,13.5,3.6666666666666665,18,-1.3974755
9.166666666666666,F,6.333333333333333,1,2,2.25,0,15.5,18.5,2.6666666666666665,100,-1.2795755
9.083333333333334,M,10,1,2,2.25,0,9.5,18.25,4.333333333333333,7,-1.3974755
9.833333333333334,F,9,1,1,2,0,13.5,17.25,4.333333333333333,36,1.0517093
9.166666666666666,F,9.25,2,3,4,0,11.5,17.75,2.6666666666666665,44,-1.1650348
10.666666666666666,F,9,1,1,0.5,0,15,20.25,5,23,-0.3676427
10.416666666666666,F,10,3,1,1.75,0,16.5,20.75,5,53,-0.7891287
9.5,M,9,1,1,0.25,0,15,20.25,5,12,-1.3770518
9.583333333333334,M,6,2,1,4,0,14,18.75,3,99,-0.03226128
9.833333333333334,M,8.75,1,1,1,0,14,22,4.666666666666667,53,1.0517093
9.833333333333334,M,9,2,3,1.25,0,14,21.75,4,1,-1.3974755
9.25,F,9,0,1,0.5,0,9,22,3.3333333333333335,47,-0.6193691
9,M,7.25,1,1,2,1,9.5,19,3.6666666666666665,67,-0.03226128
10.75,F,7,1,1,3.25,0,23,18.25,5,6,-1.3974755
10.416666666666666,F,9,2,2,0.5,0,9,22.25,3.6666666666666665,17,0.18910469
10.75,F,8.25,0,1,0.5,0,9.5,24,3.3333333333333335,35,-1.1650348
9.916666666666666,M,4.5,0,1,1.75,0,13,18.25,4,99,-0.16266835
9,F,1.5,4,4,2.5,0,14.5,19,3.6666666666666665,63,-0.12828442
9.166666666666666,M,9,2,2,5.25,0,9.5,18,5,49,0.3220071
10.833333333333334,M,10,1,2,4.5,0,11.5,20,4.666666666666667,2,-0.8287912
9.5,M,9,1,1,2,0,11.5,16.25,4.666666666666667,9,1.0961658
10.166666666666666,F,8,1,2,0,0,13.5,21.25,5,94,0.18910469
10.75,F,8.666666666666666,1,1,4.75,0,12.5,21.75,3.3333333333333335,19,-1.3974755
10.583333333333334,F,5.5,1,1,0.75,0,10.5,19.25,4.666666666666667,25,0.18910469
9,M,9.5,1,1,1.25,0,11.5,17.5,4.666666666666667,32,-1.3974755
9.666666666666666,F,1,2,2,5.75,0,18,15.75,2.3333333333333335,76,-0.6193691
9.166666666666666,F,8.75,6,6,1.25,0,12,21,3.3333333333333335,32,1.0425177
10.25,F,7.75,0,1,3,0,11,17,4,29,-1.3770518
10.583333333333334,F,8.5,0,1,1.75,0,10.5,19.75,4,40,-1.2795755
10.166666666666666,M,6,2,1,1.25,0,10.5,19.5,4,48,-1.3974755
9.666666666666666,F,8,0,1,1.75,0,12.5,18.25,4,5,-1.3974755
9.583333333333334,F,7.5,0,1,1.75,0,12.5,21.75,4.666666666666667,78,-1.2795755
10,M,9,1,1,5.5,0,9.5,19.75,5,26,-1.1650348
9.5,F,10,1,1,4.25,0,15,19.75,4.333333333333333,32,0.413664
9.25,M,9,1,1,1,0,10,19.75,4,12,-1.3974755
10.75,M,10,2,2,0.25,0,13,22.75,5,14,1.0425177
10.166666666666666,F,7,0,1,2.3333333333333335,0,15,13.333333333333334,3.3333333333333335,11,-1.3974755
9.75,F,6.75,1,2,2.75,0,17.5,17,4.333333333333333,15,-1.1650348
9.5,M,6.25,0,1,0.75,1,13.5,20,4.666666666666667,12,-1.3974755
10.666666666666666,F,9,1,1,2,0,9.5,22.25,5,20,-1.2795755
9.75,M,8.5,1,1,3.75,0,13,21.25,4.666666666666667,47,0.413664
9.333333333333334,M,10,1,1,1,0,15,20,4.666666666666667,1,-1.3974755
10.75,F,2.75,0,1,3.5,0,9,21,4.333333333333333,73,-0.12828442
9.083333333333334,F,9,1,2,0,0,9,20.25,4,58,0.18910469
10.416666666666666,M,9.75,1,1,0.75,0,12.5,19,5,20,-1.3770518
10,M,5,1,2,1,0,9,17.25,5,48,-0.12828442
9.583333333333334,M,5.75,2,1,4.75,0,17,18.25,2,99,-0.03226128
9.083333333333334,F,7.25,2,2,3.25,0,14.5,23.5,5,51,0.18910469
10.083333333333334,F,9,0,1,0.5,0,9,20,5,45,-0.8287912
9.916666666666666,F,8,2,2,1.25,0,9,20.75,4.666666666666667,28,1.0425177
10.25,M,10,2,2,0.25,0,12,17.25,5,32,0.3220071
9.5,M,8.75,2,1,0.25,0,19.5,21.75,5,10,-0.7891287
10,M,9,2,1,2.5,0,10.5,19,5,28,-0.3676427
9.166666666666666,M,10,1,2,0.5,0,12,20.75,4,27,-0.16266835
9.25,F,9.75,1,2,0.5,0,23,19.25,4.666666666666667,17,0.18910469
10.166666666666666,F,6.25,1,2,2.75,0,16.5,17.75,3.3333333333333335,18,1.0425177
10.166666666666666,M,9,1,2,1.25,0,9,17.75,4.666666666666667,33,-1.3770518
9.25,F,5.5,0,1,1,0,11,19.25,3.3333333333333335,55,0.18910469
9.583333333333334,F,6.25,0,1,4,0,12,20.25,3.6666666666666665,94,-0.12828442
9.583333333333334,M,9,1,1,1,0,15,18.75,5,14,1.0517093
10.916666666666666,M,9,2,1,1.25,0,21,19.5,4.666666666666667,13,-0.7891287
10.083333333333334,F,10,3,3,0.75,0,11,21,4.666666666666667,5,0.3220071
10.083333333333334,M,7.666666666666667,1,1,1,0,11.5,20,4,76,-0.03226128
10.916666666666666,F,8.333333333333334,0,1,3.3333333333333335,0,12,20,3.6666666666666665,27,-1.1650348
9.083333333333334,F,10,1,2,3,0,12,23,3.6666666666666665,8,-1.1650348
10.25,M,4.75,3,2,2.5,0,9.5,21.25,4.333333333333333,44,1.0425177
10.5,M,9,1,2,1.25,0,9.5,19.25,4.333333333333333,28,1.0961658
9.166666666666666,F,9,1,1,0.25,0,9,21.75,3.3333333333333335,73,1.0425177
10.333333333333334,M,9,1,2,0,0,11.5,22.25,5,3,-1.3974755
10.083333333333334,M,9.5,3,3,1,0,10.5,20.5,4.666666666666667,13,-0.7891287
9.25,F,8,1,1,4.75,0,17.5,16.25,3.3333333333333335,76,-0.3676427
